magnitude,tsunami,significance,num_stations,min_distance,rms,gap,depth,severe
5.1,0,519,104.0,1.306,0.63,32.0,10.117,1
4.5,0,312,34.0,1.012,0.68,54.0,133.502,0
6.2,0,591,90.0,26.873,1.21,55.0,10.0,0
1.76,0,48,79.0,0.09872,0.19,30.0,7.88,0
3.5,0,189,22.0,0.0,0.2,81.0,6.2849,0
3.2,0,158,36.0,0.914,0.6,211.0,35.0,0
3.85,0,228,12.0,1.5406,0.31,328.0,66.0,0
3.0,0,138,37.0,1.064,0.54,65.0,0.0,0
4.9,0,369,52.0,4.298,0.58,86.0,39.183,0
1.1,0,19,66.0,0.082783755,0.39,73.0,6.49,0
4.3,0,284,43.0,5.05,0.77,127.0,35.551,0
3.0,0,138,13.0,0.851,0.34,255.0,35.0,0
6.0,0,554,203.0,18.039,0.62,18.0,8.0,1
1.03,0,16,17.0,0.01945,0.03,125.0,2.1,0
4.2,0,271,26.0,9.164,0.68,78.0,10.0,0
2.8,0,121,13.0,0.676,0.32,213.0,35.0,0
4.2,0,271,17.0,2.772,0.26,112.0,234.85,0
5.1,0,400,112.0,2.716,0.48,59.0,35.0,1
5.1,0,400,83.0,1.826,0.68,103.0,57.126,0
6.0,0,560,124.0,1.632,0.48,72.0,18.0,1
4.3,0,284,33.0,6.39,0.5,134.0,33.193,0
3.5,0,189,117.0,0.5929,0.23,243.0,10.0,0
5.1,0,400,75.0,7.409,0.66,52.0,10.0,0
4.6,0,326,134.0,4.668,0.68,90.0,52.902,0
3.6,0,199,130.0,2.256,0.56,193.0,10.0,0
5.0,0,385,217.0,0.871,0.79,61.0,42.012,1
1.06,0,17,19.0,0.009797,0.02,49.0,1.76,0
6.0,0,1074,206.0,1.557,0.83,15.0,4.0,1
6.0,0,565,144.0,3.782,1.01,26.0,30.0,1
4.5,0,312,70.0,3.797,0.56,85.0,597.838,0
1.73,0,46,15.0,0.3069,0.26,132.0,5.97,0
5.1,0,400,103.0,1.852,0.62,67.0,65.809,1
5.2,0,416,59.0,1.774,0.81,111.0,59.672,0
5.2,0,416,100.0,1.767,0.6,65.0,75.105,0
5.4,0,449,242.0,2.057,0.85,56.0,24.222,1
1.9,0,57,25.0,0.021,0.1874,81.16,5.9,0
6.1,0,572,109.0,8.219,0.66,27.0,630.185,0
1.0,0,15,14.0,0.009144,0.03,138.0,1.31,0
6.1,0,576,138.0,0.796,0.52,32.0,37.0,1
2.2,0,74,10.0,0.1,0.2,71.0,5.6001,0
6.0,0,556,117.0,3.167,0.7,41.0,10.0,1
6.0,0,712,179.0,1.913,0.75,119.0,18.0,1
4.6,0,326,35.0,0.484,0.49,65.0,141.603,0
6.1,0,572,132.0,12.583,0.86,54.0,9.0,1
6.0,0,554,303.0,1.109,0.93,19.0,154.0,0
3.2,0,158,15.0,0.736,0.8,242.0,27.798,0
5.0,0,385,70.0,4.14,0.8,66.0,10.0,0
6.0,0,738,379.0,2.091,0.6,20.0,9.0,1
4.5,0,312,53.0,1.064,0.94,137.0,10.0,0
5.0,0,385,28.0,1.589,0.94,107.0,60.662,0
5.1,0,400,20.0,1.568,0.38,92.0,60.889,0
1.48,0,34,10.0,0.2193,0.21,73.0,7.57,0
4.3,0,284,18.0,0.314,0.65,110.0,156.289,0
4.2,0,271,20.0,1.6,0.51,75.0,32.261,0
4.0,0,246,20.0,0.989,0.95,175.0,38.072,0
6.7,1,814,244.0,1.604,1.02,21.0,52.0,1
7.0,1,755,147.0,3.125,0.73,18.0,579.0,1
3.24,0,162,23.0,0.4819,0.26,238.0,21.66,0
3.6,0,200,24.0,0.258,1.04,173.0,10.0,0
1.7,0,44,21.0,0.0,0.1,46.0,7.4684,0
1.04,0,17,12.0,0.005217,0.02,62.0,1.89,0
4.5,0,312,47.0,1.759,0.7,120.0,31.074,0
3.04,0,142,49.0,0.8772,0.27,284.0,10.06,0
3.29,0,167,9.0,0.2782,0.24,241.0,10.07,0
6.5,0,657,203.0,7.196,0.57,24.0,188.0,1
4.4,0,298,33.0,0.301,0.72,75.0,67.704,0
4.2,0,271,32.0,1.37,0.9,119.0,32.669,0
7.0,1,768,116.0,6.096,0.57,36.0,29.0,1
4.2,0,271,66.0,0.255,0.82,105.0,71.016,0
3.0,0,138,45.0,0.618,0.59,211.0,35.0,0
6.1,0,612,129.0,0.556,0.9,25.0,54.0,1
4.0,0,246,27.0,0.368,0.44,159.0,35.0,0
1.7,0,44,17.0,0.0,0.1,57.0,7.6226,0
4.7,0,340,96.0,12.545,0.55,49.0,10.0,0
6.7,0,791,194.0,0.254,0.68,19.0,9.797,1
5.3,0,432,122.0,1.905,0.82,60.0,16.902,1
3.6,0,199,15.0,0.861,0.57,250.0,35.0,0
4.0,0,246,14.0,4.131,0.49,78.0,511.216,0
1.05,0,17,27.0,0.009039,0.02,35.0,2.64,0
4.2,0,271,40.0,6.237,0.53,117.0,133.548,0
6.2,0,742,104.0,0.814,0.89,94.0,18.0,1
6.2,0,592,163.0,4.366,0.57,37.0,4.0,1
4.2,0,271,18.0,7.404,0.66,142.0,10.0,0
1.15,0,20,62.0,0.01923,0.17,29.0,16.79,0
6.6,1,719,169.0,0.685,0.52,32.0,34.0,1
4.3,0,284,31.0,4.545,0.65,120.0,35.0,0
5.0,0,385,66.0,1.907,0.71,81.0,37.696,0
4.6,0,326,31.0,4.745,0.62,128.0,10.0,0
3.76,0,218,15.0,0.7349,0.68,222.0,13.0,0
5.0,0,385,24.0,2.013,1.04,89.0,10.0,0
5.2,0,416,145.0,2.12,0.53,77.0,44.584,1
5.0,0,385,95.0,2.114,1.01,67.0,62.425,0
5.9,0,2019,157.0,0.748,0.82,12.0,12.0,1
5.3,0,432,132.0,1.889,0.61,65.0,40.843,1
5.2,0,416,95.0,2.166,0.98,44.0,35.0,0
5.5,0,465,70.0,2.557,0.96,65.0,10.0,0
4.4,0,298,22.0,1.867,0.84,132.0,556.561,0
5.8,0,518,77.0,30.899,0.8,38.0,10.0,0
5.2,0,416,108.0,1.623,0.56,64.0,10.0,1
4.2,0,271,17.0,2.424,0.65,116.0,35.0,0
6.0,0,554,130.0,9.178,0.77,24.0,10.0,1
2.31,0,82,43.0,0.01129,0.05,26.0,3.52,0
6.5,1,655,323.0,0.316,0.72,12.0,101.0,1
1.9,0,56,18.0,0.0,0.1,56.0,9.0237,0
3.0,0,138,17.0,0.919,0.35,259.0,10.0,0
4.0,0,246,41.0,0.888,0.75,72.0,261.057,0
6.1,0,606,270.0,8.435,1.04,11.0,129.0,1
3.0,0,138,13.0,1.211,0.37,340.0,35.0,0
3.1,0,148,17.0,0.788,0.45,240.0,35.0,0
5.1,0,400,73.0,17.248,0.6,64.0,35.948,0
4.4,0,298,32.0,6.014,0.87,152.0,120.987,0
5.2,0,416,41.0,2.267,0.9,122.0,10.0,0
3.2,0,158,19.0,2.636,0.55,164.0,10.0,0
1.19,0,22,52.0,0.07541,0.19,43.0,13.57,0
4.2,0,271,16.0,3.827,0.43,136.0,10.0,0
6.1,0,578,275.0,1.758,0.81,13.0,36.091,1
2.6,0,104,19.0,0.1,0.3,58.0,8.1434,0
4.2,0,271,25.0,1.631,0.29,125.0,102.533,0
5.0,0,385,88.0,1.738,0.96,103.0,51.88,0
3.95,0,240,19.0,0.4255,0.88,201.0,10.0,0
5.7,0,500,135.0,2.047,0.83,45.0,27.0,1
4.4,0,298,84.0,4.648,0.39,135.0,58.79,0
2.24,0,77,26.0,0.04178,0.31,50.0,5.67,0
5.1,0,400,205.0,1.765,0.82,70.0,58.845,1
7.0,1,768,117.0,0.509,0.58,17.0,14.0,1
6.3,0,1010,244.0,5.904,0.5,43.0,8.0,1
2.4,0,89,23.0,0.0,0.3,68.0,6.1316,0
6.8,1,711,136.0,4.678,0.74,22.0,630.379,1
5.6,0,482,192.0,1.965,0.63,33.0,64.275,1
4.6,0,326,57.0,1.356,0.55,71.0,68.61,0
2.9,0,129,30.0,0.1,0.2,80.0,6.5783,0
1.9,0,63,20.0,0.017,0.1668,73.03,5.8,0
2.4,0,89,16.0,0.0,0.1,43.0,8.5224,0
6.2,0,598,197.0,1.668,0.73,20.0,42.181,1
3.48,0,190,17.0,0.1749,0.33,166.0,7.0,0
4.6,0,326,50.0,2.912,0.67,86.0,181.294,0
4.3,0,284,20.0,10.268,0.77,209.0,10.0,0
6.5,0,653,236.0,1.999,0.74,31.0,622.73,1
5.1,0,400,72.0,4.184,0.71,66.0,40.222,0
6.1,0,835,111.0,0.857,0.87,64.0,10.0,1
5.1,0,400,95.0,1.93,0.55,91.0,38.877,0
4.7,0,340,18.0,0.871,0.74,153.0,10.0,0
3.0,0,138,16.0,1.415,0.44,270.0,10.0,0
4.3,0,284,30.0,8.783,0.88,93.0,10.0,0
5.0,0,385,104.0,3.335,0.8,39.0,255.387,0
3.5,0,188,21.0,0.54,0.34,211.0,35.0,0
2.4,0,89,16.0,0.0,0.2,67.0,7.4684,0
3.41,0,179,17.0,0.504,0.31,216.0,113.87,0
4.7,0,340,27.0,31.954,0.36,68.0,10.0,0
4.0,0,246,33.0,24.412,0.93,125.0,47.332,0
6.4,0,631,132.0,5.721,0.81,80.0,24.499,1
1.7,0,44,18.0,0.0,0.1,61.0,7.9311,0
5.7,0,500,89.0,1.759,0.94,43.0,52.821,0
5.0,0,385,129.0,2.08,0.62,67.0,10.0,1
5.1,0,400,116.0,1.965,0.85,67.0,49.809,1
7.0,1,755,147.0,3.125,0.73,18.0,579.0,1
1.1,0,19,17.0,0.005961,0.01,83.0,1.86,0
4.4,0,298,39.0,4.922,0.97,101.0,520.507,0
4.2,0,271,27.0,1.032,0.78,163.0,61.978,0
3.8,0,222,20.0,0.318,0.25,179.0,64.991,0
4.0,0,246,16.0,2.955,0.39,107.0,59.485,0
3.2,0,158,32.0,0.506,0.63,207.0,35.0,0
4.0,0,246,16.0,2.031,0.31,134.0,10.0,0
3.9,0,234,68.0,0.747,0.5,198.0,35.0,0
6.3,0,611,155.0,28.223,0.38,33.0,10.0,1
1.94,0,58,12.0,0.05328,0.16,73.0,11.98,0
6.0,1,569,228.0,1.719,0.65,54.0,7.0,1
4.8,0,354,112.0,1.602,0.68,77.0,10.0,0
5.0,0,385,49.0,1.885,0.41,117.0,43.054,0
7.6,1,910,380.0,3.744,0.7,15.0,210.0,1
4.0,0,246,16.0,2.243,0.58,125.0,399.85,0
3.84,0,227,14.0,0.4007,0.39,236.0,138.0,0
5.3,0,432,46.0,20.547,0.71,96.0,10.0,0
2.21,0,75,5.0,0.09899,0.03,247.0,12.58,0
6.1,0,584,233.0,1.582,0.6,49.0,20.0,1
6.1,0,573,91.0,2.968,0.92,62.0,10.0,0
4.6,0,326,60.0,0.466,0.55,99.0,22.322,0
5.3,0,432,78.0,10.493,0.89,66.0,10.0,0
6.3,0,613,110.0,5.859,0.83,35.0,10.0,1
5.0,0,385,263.0,8.757,0.66,36.0,10.0,1
4.6,0,326,16.0,2.02,0.36,109.0,10.0,0
4.2,0,271,41.0,1.323,0.51,112.0,311.398,0
2.71,0,113,60.0,0.09915,0.07,179.0,4.99,0
3.8,0,222,49.0,0.353,0.54,128.0,192.996,0
4.8,0,355,75.0,3.301,0.6,36.0,80.593,0
1.8,0,50,15.0,0.0,0.1,59.0,7.1213,0
6.6,1,679,171.0,3.741,0.56,21.0,79.0,1
3.9,0,234,36.0,0.0,0.1,54.0,7.7383,0
4.4,0,298,23.0,6.488,0.76,74.0,10.0,0
5.2,0,416,163.0,2.121,0.81,80.0,173.775,0
5.4,0,449,122.0,1.869,0.73,95.0,58.952,1
3.0,0,138,19.0,0.5,0.32,223.0,35.0,0
2.36,0,86,14.0,0.2459,0.25,92.0,9.03,0
1.2,0,22,66.0,0.08802,0.2,23.0,15.56,0
